Index,smiles,complexity,atoms,DelE_red(V),MW,btz,scaffold1,scaffold2,scaffold3,scaffold4,scaffold5
936,CC(C)Cc1cc2c(c3nsnc13)NCC2,4,16,1.49,233.0986685,1,0,0,0,0,0
937,CCCc1c2c(cc3nsnc13)N(CC)CCN2C,6,19,1.32,276.1408676,1,0,1,0,0,0
938,CCOCCc1c2c(c(CC)c3nsnc13)C1CCC2C1,5,21,1.28,302.1452843,1,0,0,0,1,0
939,CCC(C)c1c2c(cc3nsnc13)CCC2C,4,17,1.37,246.1190696,1,0,0,0,0,0
940,CCCCc1c2c(c(C)c3nsnc13)OCCO2,4,18,1.42,264.0932488,1,0,0,1,0,0
941,C1Cc2c3c(c4nsnc4c2C1)CCCO3,4,16,1.42,232.067034,1,0,0,0,0,0
942,COc1c(C)c(C)c2nsnc2c1OC,8,15,1.58,224.0619486,1,0,0,0,0,0
943,CCc1c(C(C)C)c(OC)cc2nsnc12,6,16,1.51,236.0983341,1,0,0,0,0,0
944,Cc1ccc(C(C)C)c2nsnc12,4,13,1.53,192.0721194,1,0,0,0,0,0
945,COc1c2c(c(C)c3nsnc13)OC(C)C2,6,16,1.46,236.0619486,1,0,0,0,0,0
946,COC1N(C)c2cc3nsnc3cc2N1C(C)C,6,18,1.15,264.1044821,1,1,0,0,0,0
947,CC(C)COc1cc2nsnc2c2c1CCO2,4,17,1.46,250.0775987,1,0,0,0,0,0
948,CCc1cc(C)c2nsnc2c1,4,12,1.57,178.0564693,1,0,0,0,0,0
949,COCCN(C)c1cc(C)c2nsnc2c1,6,16,1.4,237.0935831,1,0,0,0,0,0
950,CCCN1CCN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,6,21,1.39,305.1310312,1,0,1,0,0,0
951,CCC(C)N1CCN(CC)c2c1c(C)c1nsnc1c2C,8,21,1.32,304.1721678,1,0,1,0,0,0
952,CCNc1c2c(c(OC(C)C)c3nsnc13)C1CCC2C1,4,21,1.57,303.1405333,1,0,0,0,1,0
953,CC(C)COc1cc2c(c3nsnc13)CCC2,4,17,1.5,248.0983341,1,0,0,0,0,0
954,CCCc1ccc2nsnc2c1NC,4,14,1.49,207.0830184,1,0,0,0,0,0
955,CCc1c(C)c(OC)c(NC)c2nsnc12,8,16,1.45,237.0935831,1,0,0,0,0,0
956,CNc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)OCCO2,4,19,1.55,280.0630112,1,0,0,1,0,0
957,COc1c(OCC(C)C)ccc2nsnc12,4,16,1.7,238.0775987,1,0,0,0,0,0
958,CCOc1c(C)c(CC)c(C)c2nsnc12,8,16,1.51,236.0983341,1,0,0,0,0,0
959,CC(C)c1cc2nsnc2c2c1N(C)CCN2,4,17,1.58,248.1095675,1,0,0,0,0,0
960,CCCCC1Oc2cc3nsnc3cc2OC1C,4,18,1.66,264.0932488,1,0,0,1,0,0
961,CCc1c(OC)c(NC)c2nsnc2c1C,8,16,1.47,237.0935831,1,0,0,0,0,0
962,CNc1c(N(C)C)cc(C)c2nsnc12,7,15,1.28,222.0939174,1,0,0,0,0,0
963,CC(C)COCCOc1ccc2nsnc2c1,3,17,1.67,252.0932488,1,0,0,0,0,0
964,COC1CN(C)c2cc3nsnc3c(C)c21,6,16,1.38,235.077933,1,0,0,0,0,0
965,CCc1cc(C(C)C)c(C)c2nsnc12,6,15,1.48,220.1034195,1,0,0,0,0,0
966,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CCN2C,6,19,1.47,277.0997311,1,0,1,0,0,0
968,COc1c2c(c(C(C)C)c3nsnc13)OCC(C)O2,6,19,1.46,280.0881634,1,0,0,1,0,0
969,CCc1ccc2nsnc2c1OC,4,13,1.63,194.0513839,1,0,0,0,0,0
970,CCOc1c2c(cc3nsnc13)OCCO2,4,16,1.56,238.0412132,1,0,0,1,0,0
971,CCCc1c(OC)cc(OC)c2nsnc12,6,16,1.53,238.0775987,1,0,0,0,0,0
972,Cc1c2c(cc3nsnc13)N(C)CCN2CCOC(C)C,7,21,1.28,306.1514323,1,0,1,0,0,0
973,CCCNc1c2c(cc3nsnc13)CCO2,4,16,1.46,235.077933,1,0,0,0,0,0
974,CCCN(c1c2c(cc3nsnc13)C1CCC2C1)C(C)C,3,21,1.33,301.1612687,1,0,0,0,1,0
975,CCCOCCN1CN(C)c2cc3nsnc3cc21,5,19,1.16,278.1201322,1,1,0,0,0,0
976,CCN1CCN(C)c2cc3nsnc3c(NCC(C)C)c21,6,21,1.28,305.1674167,1,0,1,0,0,0
977,CNc1c2c(c(N(C)C(C)C)c3nsnc13)C1CCC2C1,5,21,1.3,302.1565177,1,0,0,0,1,0
